Name,Score
Sammy Watkins,33.49835342808628
Colt McCoy,33.4652779136821
Tyler Conklin,33.46396385522024
Raheem Mostert,33.32467673727455
Nelson Agholor,33.267574993444185
Andy Dalton,33.2034404885712
Tyrod Taylor,33.13052697993152
Dan Arnold,33.029173136810826
Zay Jones,32.98848433814267
Zack Moss,32.576967792293644
Freddie Swain,32.444102544107736
John Brown,32.439100663636644
Jamaal Williams,32.33558505845541
Case Keenum,32.097192359404275
Jamal Agnew,31.997244429592982
Kenny Golladay,31.84125291270859
Jauan Jennings,31.610735322215383
Lil\'Jordan Humphrey,31.54798479307373
Richie James,31.43555699053059
Steven Sims,31.223983490798286
T.Y. Hilton,30.4898162997714
Logan Thomas,30.478127622112147
Laquon Treadwell,29.991764902303753
DeAndre Carter,29.95487224260014
Ray-Ray McCloud,29.803045082693124
Nick Mullens,29.62915700470895
Jacoby Brissett,29.54026813161793
Davis Mills,29.501522444000663
Nick Foles,29.40986637544789
James Washington,29.319002401219112
Mitchell Trubisky,28.44120824002089
Kyle Allen,28.07272878258923
Tyler Johnson,28.034723815088444
Evan Engram,27.499603232437327
Ihmir Smith-Marsette,27.489110255890537
Terrace Marshall Jr.,27.4371879971542
Olamide Zaccheaus,27.24254529094165
Lynn Bowden Jr.,27.12105377195875
Chase Daniel,26.91652606380179
Brian Hoyer,26.778148554865876
Jeff Driskel,26.66650861666657
Boston Scott,26.48257822563649
Duke Johnson,26.367597515420336
Dontrell Hilliard,26.228021735827078
Irv Smith Jr.,26.084099642839828
Chester Rogers,26.021546725606804
Juwann Winfree,25.7723380469947
Devin Duvernay,25.68275222813184
C.J. Uzomah,25.399499528612342
Cam Sims,25.343178137724895
Blaine Gabbert,25.175826860475794
David Njoku,25.05993461576147
Isaiah McKenzie,25.055381195440237
J.D. McKissic,24.9695240091432
Trey Sermon,24.950122906684264
Dante Pettis,24.924280408132944
David Blough,24.908864501778446
Keelan Cole,24.90268439075762
Tyron Johnson,24.889896685189964
Hayden Hurst,24.718818735834567
Cordarrelle Patterson,24.544058314200583
C.J. Beathard,24.358794449093224
Rashard Higgins,24.154051893548168
Gus Edwards,24.10169299201681
Dyami Brown,24.094918558613696
Brandon Allen,24.029899058195852
Phillip Dorsett,23.97924369722213
Anthony Schwartz,23.88403976923135
Jaelon Darden,23.72311064399961
Ashton Dulin,23.24850210973445
Jeff Wilson,22.71174512598253
Marcus Mariota,22.40685242223215
Dax Milne,22.324151909603007
Kendall Hinton,22.215228191398936
Chris Conley,21.661404030723318
Cameron Brate,21.293307748468017
Trinity Benson,21.26551569076349
Foster Moreau,21.118199470217377
Geno Smith,21.043897139847374
Chris Streveler,20.89473984281311
Noah Brown,20.374662126101725
Scott Miller,20.32214897918288
Tim Boyle,20.168262814845022
N\'Keal Harry,19.98450147500744
P.J. Walker,19.640148719941614
Chris Moore,19.491952434045043
Preston Williams,19.46941519359278
Ronald Jones II,19.409860062181192
Dezmon Patmon,19.334989201436667
Samaje Perine,19.04266998569368
Marcus Johnson,19.033997101504344
Malik Turner,18.902498189727076
Kyle Rudolph,18.07217303336466
Racey McMath,17.637966590231095
Mack Hollins,17.50451088821242
Brandon Zylstra,17.487166195553378
Demarcus Robinson,17.465387136153133
Ryan Griffin,17.268072615982717
Khalil Herbert,17.163132653255346
Larry Rountree,17.136278293429577
Ben Skowronek,17.10871656164479
Denzel Mims,16.93671735114374
Durham Smythe,16.935752084655892
Salvon Ahmed,16.742597881332077
Chris Evans,16.72990479467651
J.J. Taylor,16.546864834928442
Justin Jackson,16.51729346768864
Maxx Williams,16.41556318720862
Keith Kirkwood,16.32411213579065
Jaret Patterson,16.228169639491377
Albert Okwuegbunam,16.218992133215128
Kenyan Drake,16.16174673308386
Pharoh Cooper,16.08611169484507
Brandon Powell,16.044552611796455
Nyheim Hines,15.878615941910542
Jarrett Stidham,15.733765323520798
Joshua Dobbs,15.44654631499307
Donald Parham,15.421955857405182
Ke\'Shawn Vaughn,15.016044746151902
Craig Reynolds,14.915769562232839
Amari Rodgers,14.900993623402123
D\'Wayne Eskridge,14.392916099211114
Jeff Smith,14.362974761561029
Jonnu Smith,14.235358827587092
Richard Rodgers,14.16414117234645
Ty Johnson,14.004306176035861
Travis Homer,13.993047156755473
Javon Wims,13.89484033420477
Brevin Jordan,13.715749953315987
Adam Trautman,13.58086933571382
Damiere Byrd,13.460410988131326
Robert Tonyan,13.259307415956657
Trent Taylor,13.144435640445671
Mike Davis,13.046523578022846
Tyler Kroft,12.976394592570156
James Proche,12.394302892627342
Eno Benjamin,12.38954921852577
Marlon Mack,12.340979950440113
Jason Moore,12.336710279157758
