Pos,Penalty,Games,Name,Age,Tgt,Rec,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Fumbles,PPG,ol,rb,wr,qb,te
WR,1.0,17,Chosen Anderson,29.0,6.470588235294118,3.1176470588235294,2.1176470588235294,0.0,0.17647058823529413,30.529411764705884,0.29411764705882354,0.0,5.029411764705882,8.6,7.699999999999999,7.430000000000001,16.0,2.0
TE,1.0,17,Stephen Anderson,29.0,1.1176470588235294,0.9411764705882353,0.0,0.0,0.0,9.705882352941176,0.058823529411764705,0.0,1.3235294117647058,8.6,7.699999999999999,7.430000000000001,16.0,2.0
RB,1.0,9,Eno Benjamin,23.0,0.7777777777777778,0.6666666666666666,13.11111111111111,0.1111111111111111,3.7777777777777777,4.666666666666667,0.0,0.0,2.4444444444444446,8.6,7.699999999999999,7.430000000000001,16.0,2.0
WR,1.0,16,Marquise Brown,25.0,9.125,5.6875,0.3125,0.0,0.0625,63.0,0.375,0.1875,8.20625,8.6,7.699999999999999,7.430000000000001,16.0,2.0
RB,1.0,17,Corey Clement,28.0,0.4117647058823529,0.35294117647058826,8.235294117647058,0.0,1.9411764705882353,1.7058823529411764,0.058823529411764705,0.0,1.3470588235294119,8.6,7.699999999999999,7.430000000000001,16.0,2.0
RB,1.0,15,James Conner,27.0,2.6,2.466666666666667,50.13333333333333,1.0,13.466666666666667,25.0,0.2,0.13333333333333333,14.446666666666667,8.6,7.699999999999999,7.430000000000001,16.0,2.0
WR,1.0,8,Pharoh Cooper,27.0,1.375,0.5,0.375,0.0,0.125,4.125,0.0,0.0,0.45000000000000007,8.6,7.699999999999999,7.430000000000001,16.0,2.0
TE,1.0,17,Zach Ertz,32.0,6.588235294117647,4.352941176470588,0.23529411764705882,0.0,0.058823529411764705,44.88235294117647,0.29411764705882354,0.0,6.276470588235294,8.6,7.699999999999999,7.430000000000001,16.0,2.0
WR,1.0,16,A.J. Green,34.0,5.75,3.375,0.0,0.0,0.0,53.0,0.1875,0.0,6.425000000000001,8.6,7.699999999999999,7.430000000000001,16.0,2.0
WR,1.0,10,DeAndre Hopkins,30.0,6.4,4.2,0.0,0.0,0.0,57.2,0.8,0.0,10.520000000000001,8.6,7.699999999999999,7.430000000000001,16.0,2.0
WR,1.0,8,Andy Isabella,26.0,0.125,0.125,0.0,0.0,0.0,1.625,0.0,0.0,0.1625,8.6,7.699999999999999,7.430000000000001,16.0,2.0
