No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Sk%,NY/A,ANY/A,4QC,GWD,RushAtt,RushYds,RushTD,Fmb,FantasyPPG,Year,YearsBack,Team
1.0,Marcus Mariota,29.0,QB,13,13.0,5-8-0,184,300,61.3,2219,15,5.0,9,3.0,75.0,7.4,7.0,12.1,170.7,88.2,55.6,28,8.5,6.17,5.85,2.0,3.0,85,438,4,8,14.043076923076923,2022,1,atl
4.0,Desmond Ridder,23.0,QB,4,4.0,2-2-0,73,115,63.5,708,2,1.7,0,0.0,40.0,6.2,6.5,9.7,177.0,86.4,49.8,9,7.3,5.44,5.77,1.0,1.0,16,64,0,3,9.18,2022,1,atl
