team,ol,rb,wr,qb,te,year
crd,4.3999999999999995,5.1,6.614999999999999,5.0,2.0,2012
atl,7.6,8.6,9.715,15.0,6.6000000000000005,2012
rav,7.2,11.2,7.430000000000001,12.0,4.8,2012
buf,6.4,8.1,5.285,11.0,2.4000000000000004,2012
car,8.2,8.7,7.9,19.0,4.0,2012
chi,5.0,10.1,6.665000000000001,7.0,1.6,2012
cin,5.6000000000000005,5.799999999999999,5.09,11.0,4.0,2012
cle,6.000000000000001,1.4,3.43,5.0,1.8,2012
dal,4.6000000000000005,6.699999999999999,5.0,13.0,6.6000000000000005,2012
den,6.2,5.799999999999999,4.475,0.0,2.6000000000000005,2012
det,9.0,3.4,9.469999999999999,16.0,6.200000000000001,2012
gnb,9.6,8.7,12.0,23.0,7.4,2012
htx,7.000000000000001,11.2,2.8600000000000003,8.0,4.800000000000001,2012
clt,4.000000000000001,3.4,4.0,0.0,0.0,2012
jax,4.0,9.799999999999999,4.0,4.0,3.4000000000000004,2012
kan,4.8,3.6999999999999997,4.905,3.0,2.6000000000000005,2012
rai,7.800000000000001,4.4,5.0,8.0,0.8,2012
sdg,7.6,10.0,6.0,17.0,7.0,2012
ram,6.8,4.199999999999999,1.38,3.0,1.6,2012
mia,5.600000000000001,8.2,5.76,8.0,3.2,2012
min,5.6000000000000005,7.1,8.045000000000002,5.0,1.6,2012
nwe,7.199999999999999,4.7,9.66,21.0,13.200000000000001,2012
nor,10.799999999999999,10.799999999999999,7.614999999999999,20.0,10.4,2012
nyg,6.4,5.799999999999999,8.575000000000001,15.0,1.0,2012
nyj,6.6000000000000005,5.799999999999999,3.7600000000000002,8.0,4.800000000000001,2012
phi,7.2,7.3,6.81,12.0,5.000000000000001,2012
pit,6.8,5.3999999999999995,8.575,12.0,4.2,2012
sfo,7.4,8.8,6.234999999999999,13.0,6.4,2012
sea,4.0,6.8999999999999995,5.14,2.0,1.8,2012
tam,7.000000000000001,4.4,7.71,8.0,1.8,2012
oti,6.0,7.199999999999999,5.8549999999999995,9.0,5.000000000000001,2012
was,5.0,8.1,4.855,0.0,5.000000000000001,2012
