team,ol,rb,wr,qb,te,year
rav,9.799999999999999,9.299999999999999,5.66,13.0,0.8,2015
buf,6.199999999999999,6.8,5.57,2.0,4.0,2015
car,4.6,4.499999999999999,3.81,12.0,6.6000000000000005,2015
chi,6.2,10.0,5.715,11.0,5.800000000000001,2015
cin,7.6,9.1,6.67,11.0,0.8,2015
cle,6.6,3.6999999999999997,5.8549999999999995,5.0,1.0,2015
dal,10.8,4.0,8.47,14.0,5.800000000000001,2015
den,5.0,8.5,10.77,16.0,4.4,2015
det,4.999999999999999,6.5,7.765000000000001,13.0,2.8000000000000003,2015
gnb,10.200000000000001,12.7,8.895,22.0,3.8000000000000003,2015
htx,7.6,8.2,5.994999999999999,7.0,1.8,2015
clt,6.4,6.3999999999999995,8.38,16.0,6.200000000000001,2015
jax,5.4,3.6999999999999997,3.7150000000000003,5.0,4.4,2015
kan,5.4,10.2,4.995,14.0,7.2,2015
rai,5.2,3.6999999999999997,4.43,5.0,3.2,2015
sdg,8.0,5.1,5.525,13.0,6.000000000000001,2015
ram,3.2,5.3999999999999995,5.095,5.0,4.4,2015
mia,6.3999999999999995,8.899999999999999,7.095,14.0,3.0000000000000004,2015
min,3.0000000000000004,5.3999999999999995,5.8549999999999995,9.0,2.0,2015
nwe,6.199999999999999,5.1,9.48,16.0,11.200000000000001,2015
nor,7.800000000000001,6.8,5.0,16.0,1.8,2015
nyg,5.3999999999999995,7.3999999999999995,7.999999999999999,13.0,4.4,2015
nyj,7.4,4.4,5.81,8.0,1.6,2015
phi,6.6,14.399999999999999,4.475,6.0,4.4,2015
pit,6.2,12.499999999999998,9.515,16.0,5.6000000000000005,2015
sfo,6.199999999999999,4.7,5.67,12.0,1.6,2015
sea,6.6,11.2,6.285,19.0,7.2,2015
tam,5.6000000000000005,4.4,6.24,0.0,1.8,2015
oti,3.4000000000000004,3.6999999999999997,4.43,3.0,5.200000000000001,2015
was,6.199999999999999,5.699999999999999,5.57,4.0,2.6000000000000005,2015
