team,ol,rb,wr,qb,te,year
crd,6.2,8.1,9.809999999999999,16.0,2.8000000000000003,2016
atl,7.200000000000001,9.299999999999999,8.325,14.0,4.800000000000001,2016
rav,4.799999999999999,4.7,5.095,5.0,2.8000000000000003,2016
buf,7.4,6.8999999999999995,6.045,14.0,4.0,2016
car,8.6,7.5,6.52,21.0,10.6,2016
chi,8.799999999999999,4.7,4.19,11.0,3.4000000000000004,2016
cin,9.0,8.8,6.615,13.0,5.000000000000001,2016
cle,6.199999999999999,4.7,0.76,5.0,4.800000000000001,2016
dal,7.4,6.1,3.475,2.0,3.2,2016
den,6.0,4.7,6.385,0.0,0.8,2016
det,6.4,6.3999999999999995,7.19,13.0,3.4000000000000004,2016
gnb,5.8,7.0,4.665,14.0,4.8,2016
htx,4.999999999999999,6.3999999999999995,4.8,5.0,1.8,2016
clt,5.0,5.199999999999999,5.620000000000001,4.0,1.0,2016
jax,5.799999999999999,8.4,7.715,14.0,3.6,2016
kan,6.8,6.1,6.425,16.0,7.4,2016
rai,6.4,6.6,7.239999999999999,13.0,2.8000000000000003,2016
sdg,6.6000000000000005,6.3999999999999995,5.1899999999999995,12.0,3.2,2016
ram,4.0,6.5,4.62,2.0,1.6,2016
mia,6.199999999999999,2.6999999999999997,5.279999999999999,10.0,2.6000000000000005,2016
min,7.200000000000001,11.299999999999999,5.285,8.0,4.2,2016
nwe,5.199999999999999,5.999999999999999,7.38,18.0,10.400000000000002,2016
nor,8.4,6.5,7.239999999999999,14.0,3.4000000000000004,2016
nyg,7.0,7.3999999999999995,6.950000000000001,14.0,3.6,2016
nyj,6.6000000000000005,7.1,8.81,13.0,2.4000000000000004,2016
phi,7.4,5.3999999999999995,4.57,0.0,5.4,2016
pit,8.6,7.8,9.325000000000001,12.0,2.4000000000000004,2016
sfo,5.4,2.6999999999999997,3.095,5.0,1.0,2016
sea,5.6000000000000005,5.799999999999999,9.19,19.0,5.200000000000001,2016
tam,5.8,10.1,6.614999999999999,13.0,2.8000000000000003,2016
oti,6.0,5.3999999999999995,3.7150000000000003,9.0,6.800000000000001,2016
was,7.6,4.4,5.095,12.0,6.6000000000000005,2016
crd,6.4,10.8,6.234999999999999,12.0,2.4000000000000004,2017
atl,11.2,13.2,10.42,21.0,3.0000000000000004,2017
rav,4.6000000000000005,4.799999999999999,5.1899999999999995,9.0,0.0,2017
buf,8.0,10.0,5.575000000000001,15.0,5.000000000000001,2017
car,4.6,4.4,4.52,11.0,6.6000000000000005,2017
chi,6.199999999999999,6.6,4.57,0.0,2.8000000000000003,2017
cin,4.8,4.7,6.095,12.0,2.8000000000000003,2017
cle,5.0,6.3999999999999995,4.475,3.0,0.8,2017
dal,9.0,11.799999999999999,7.430000000000001,15.0,5.800000000000001,2017
den,5.8,4.4,6.290000000000001,9.0,1.8,2017
det,7.4,5.3999999999999995,6.385,14.0,5.000000000000001,2017
gnb,10.399999999999999,5.499999999999999,9.620000000000001,18.0,6.200000000000001,2017
htx,5.6,5.799999999999999,5.24,1.0,3.8000000000000003,2017
clt,8.2,8.2,7.18,2.0,4.800000000000001,2017
jax,5.199999999999999,4.7,5.525,10.0,1.0,2017
kan,6.4,3.0999999999999996,6.33,12.0,8.2,2017
rai,8.2,4.7,7.905,12.0,3.8000000000000003,2017
sdg,6.0,7.3,7.4750000000000005,13.0,4.8,2017
ram,4.6000000000000005,3.0999999999999996,4.76,0.0,0.8,2017
mia,5.6,7.9,7.5200000000000005,2.0,1.8,2017
min,5.3999999999999995,6.699999999999999,5.67,11.0,5.800000000000001,2017
nwe,9.0,6.3999999999999995,8.235,13.0,6.6000000000000005,2017
nor,8.399999999999999,7.999999999999999,8.475,16.0,5.000000000000001,2017
nyg,6.0,3.4,6.8999999999999995,9.0,0.8,2017
nyj,5.0,5.699999999999999,4.38,2.0,2.4000000000000004,2017
phi,6.8,9.4,3.475,10.0,6.200000000000001,2017
pit,8.4,10.8,6.855,12.0,3.0000000000000004,2017
sfo,6.4,4.8999999999999995,5.8999999999999995,4.0,2.4000000000000004,2017
sea,5.6000000000000005,2.9999999999999996,6.380000000000001,14.0,6.6000000000000005,2017
tam,6.6,4.0,7.905,12.0,4.0,2017
oti,9.0,9.599999999999998,3.995,13.0,5.800000000000001,2017
was,9.2,5.0,5.905000000000001,15.0,5.800000000000001,2017
crd,5.0,0.7,4.95,2.0,1.8,2018
atl,9.6,8.4,8.235000000000001,15.0,4.0,2018
rav,5.200000000000001,8.4,3.81,9.0,1.8,2018
buf,6.0,8.899999999999999,3.095,1.0,4.8,2018
car,7.2,8.4,4.95,15.0,1.6,2018
chi,5.8,6.699999999999999,2.8100000000000005,7.0,1.8,2018
cin,4.6,7.0,5.04,11.0,3.4000000000000004,2018
cle,5.3999999999999995,7.3999999999999995,3.9,12.0,2.8000000000000003,2018
dal,8.200000000000001,7.5,5.430000000000001,13.0,0.0,2018
den,5.3999999999999995,2.0999999999999996,4.285,14.0,0.8,2018
det,6.800000000000001,5.999999999999999,7.954999999999999,15.0,1.0,2018
gnb,6.8,5.1,6.19,6.0,3.8000000000000003,2018
htx,4.799999999999999,5.499999999999999,7.0,7.0,0.8,2018
clt,4.6,3.0999999999999996,5.234999999999999,11.0,5.800000000000001,2018
jax,8.8,8.0,4.140000000000001,13.0,2.6000000000000005,2018
kan,7.8,11.1,8.090000000000002,1.0,8.4,2018
rai,7.799999999999999,6.1,5.715000000000001,10.0,5.000000000000001,2018
sdg,6.0,8.2,7.8999999999999995,13.0,4.6,2018
ram,9.999999999999998,15.399999999999999,10.235,15.0,3.0000000000000004,2018
mia,6.0,7.3999999999999995,6.4750000000000005,2.0,2.6000000000000005,2018
min,6.4,6.3999999999999995,8.525,12.0,4.2,2018
nwe,7.3999999999999995,6.3999999999999995,3.475,20.0,10.6,2018
nor,8.399999999999999,15.399999999999999,8.620000000000001,17.0,4.2,2018
nyg,7.6,4.7,3.1399999999999997,7.0,4.4,2018
nyj,5.3999999999999995,5.699999999999999,7.095,9.0,1.0,2018
phi,10.799999999999999,3.6999999999999997,7.760000000000001,13.0,6.6000000000000005,2018
pit,8.6,1.0,8.955,14.0,3.6,2018
sfo,4.2,4.0,5.234999999999999,5.0,3.8000000000000003,2018
sea,6.6,1.7,5.905000000000001,15.0,3.4000000000000004,2018
tam,6.0,2.6999999999999997,6.14,10.0,3.8000000000000003,2018
oti,8.200000000000001,10.2,5.860000000000001,12.0,0.8,2018
was,7.6000000000000005,5.699999999999999,5.430000000000001,17.0,4.4,2018
