team,ol,rb,wr,qb,te,year
jax,6.8,3.4,6.095,10.0,2.6000000000000005,2020
kan,8.6,4.7,7.760000000000001,17.0,10.6,2020
rai,6.8,6.5,2.8100000000000005,11.0,7.2,2020
sdg,7.0,7.999999999999999,6.48,0.0,4.2,2020
ram,6.2,1.7,7.290000000000001,12.0,5.4,2020
mia,4.3999999999999995,5.3999999999999995,4.995,10.0,3.4000000000000004,2020
min,7.0,11.7,3.7600000000000002,14.0,3.8000000000000003,2020
nwe,5.000000000000001,6.3999999999999995,5.66,1.0,0.8,2020
nor,8.8,9.799999999999999,8.705,15.0,6.000000000000001,2020
nyg,4.0,8.7,5.38,9.0,3.6,2020
nyj,5.199999999999999,4.7,4.1450000000000005,6.0,1.6,2020
phi,7.8,6.5,2.475,12.0,6.6000000000000005,2020
pit,5.6000000000000005,3.6999999999999997,5.095,3.0,2.8000000000000003,2020
sfo,5.2,7.3999999999999995,5.71,15.0,9.0,2020
sea,,9.4,6.955,15.0,3.8000000000000003,2020
tam,7.800000000000001,9.1,7.385,12.0,3.6,2020
oti,6.4,9.1,6.33,11.0,3.4000000000000004,2020
was,4.6,3.6999999999999997,4.285,7.0,1.8,2020
crd,7.4,5.999999999999999,7.375,16.0,2.6000000000000005,2021
atl,5.4,6.3999999999999995,7.095000000000001,13.0,4.0,2021
rav,6.6,4.499999999999999,5.8999999999999995,18.0,6.6000000000000005,2021
buf,5.8,6.1,10.709999999999999,18.0,2.4000000000000004,2021
car,5.6,2.3999999999999995,8.239999999999998,12.0,0.8,2021
chi,4.4,7.3,7.8999999999999995,5.0,3.6,2021
cin,4.6,2.6999999999999997,5.290000000000001,7.0,2.6000000000000005,2021
cle,10.6,9.0,6.569999999999999,14.0,3.6,2021
dal,4.6000000000000005,6.1,8.43,6.0,4.0,2021
den,6.8,4.199999999999999,5.38,13.0,4.2,2021
det,6.200000000000001,6.699999999999999,3.095,10.0,5.4,2021
gnb,10.6,10.399999999999999,10.184999999999999,18.0,5.800000000000001,2021
htx,5.6,5.799999999999999,6.234999999999999,1.0,2.6000000000000005,2021
clt,10.4,9.799999999999999,6.095,5.0,3.6,2021
jax,5.6,6.5,6.14,2.0,2.0,2021
kan,7.800000000000001,6.8,7.71,17.0,9.8,2021
rai,5.999999999999999,7.3999999999999995,5.095,14.0,9.0,2021
sdg,6.3999999999999995,5.1,6.19,13.0,4.2,2021
ram,5.6,4.0,6.1450000000000005,13.0,3.2,2021
mia,5.8,5.799999999999999,6.1450000000000005,5.0,5.200000000000001,2021
min,6.8,10.6,7.620000000000001,14.0,1.8,2021
nwe,4.3999999999999995,4.7,6.81,0.0,5.0,2021
nor,10.200000000000001,10.7,2.76,7.0,1.8,2021
nyg,4.6,3.0999999999999996,4.8100000000000005,9.0,4.6,2021
nyj,5.2,2.0,7.614999999999999,2.0,5.800000000000001,2021
phi,4.2,5.1,3.095,7.0,3.8000000000000003,2021
pit,4.000000000000001,2.3999999999999995,7.715000000000001,10.0,4.0,2021
sfo,6.800000000000001,4.0,3.285,3.0,4.4,2021
sea,7.8,7.1,8.860000000000001,17.0,2.8000000000000003,2021
tam,9.2,7.1,7.5249999999999995,15.0,5.4,2021
oti,7.0,12.7,8.090000000000002,16.0,1.8,2021
was,7.2,4.199999999999999,7.430000000000001,7.0,4.0,2021
crd,8.6,7.699999999999999,7.430000000000001,16.0,2.0,2022
atl,5.8,6.199999999999999,3.3800000000000003,0.0,7.0,2022
rav,4.6000000000000005,4.7,3.095,11.0,8.2,2022
buf,8.799999999999999,7.1,8.330000000000002,19.0,4.800000000000001,2022
car,5.6,5.0,5.8999999999999995,10.0,1.0,2022
chi,7.000000000000001,5.1,7.19,6.0,4.4,2022
cin,6.3999999999999995,7.9,10.57,15.0,1.8,2022
cle,7.3999999999999995,8.2,5.1899999999999995,2.0,3.6,2022
dal,8.2,8.0,5.994999999999999,14.0,5.6000000000000005,2022
