Name,Score
Jalen Hurts,0.9458174810378676
Justin Fields,0.8480776466688154
Lamar Jackson,0.8446501591583673
Patrick Mahomes,0.8427902657986341
Josh Allen,0.8175738151065355
Ja\'Marr Chase,0.7699211852507621
Justin Jefferson,0.7233663109655378
Marcus Mariota,0.723220179918834
Daniel Jones,0.7204772534384268
Joe Burrow,0.6752357855666372
Cooper Kupp,0.6641366736270611
Kyler Murray,0.6515057691775564
Geno Smith,0.6506727239693104
CeeDee Lamb,0.6380535905084376
Tyreek Hill,0.628077334508303
Trevor Lawrence,0.6275717314248496
Amon-Ra St. Brown,0.6155475579396916
A.J. Brown,0.6134544149428739
Stefon Diggs,0.6089356605312991
Davante Adams,0.6058958822192034
Russell Wilson,0.5981742427955561
Tyler Huntley,0.583701594129295
Justin Herbert,0.5684699054675317
Kirk Cousins,0.5613417456192596
DeAndre Hopkins,0.5534311361731908
Jaylen Waddle,0.550866082589475
DeVonta Smith,0.5496201370215764
Jared Goff,0.5469776919619276
Chris Olave,0.5445601148460425
Kenny Pickett,0.542549115330099
Ryan Tannehill,0.5335859839598751
Chris Godwin,0.5300081356774976
Tee Higgins,0.5297813561174962
Derek Carr,0.5224805055428975
Jacoby Brissett,0.5182137412891384
Keenan Allen,0.5152566859025055
Garrett Wilson,0.5125488027365305
D.K. Metcalf,0.5112061584943796
Matthew Stafford,0.5096343267878483
Aaron Rodgers,0.5095447093909359
Dak Prescott,0.5081778133465271
Taylor Heinicke,0.5068586453622937
Michael Pittman Jr.,0.5040496305069865
Mitchell Trubisky,0.5035597721885079
Travis Kelce,0.5033473770499505
Jameis Winston,0.5013931946388676
Christian Kirk,0.4944911825226001
Andy Dalton,0.4929774045339312
Jimmy Garoppolo,0.4923506749141588
Drake London,0.49217690559755495
Josh Jacobs,0.49158966888891886
Jerry Jeudy,0.48857108321339654
Marquise Brown,0.4877427197947635
Tua Tagovailoa,0.48772688552646576
Mac Jones,0.4871557106094297
Jakobi Meyers,0.4844244370042832
Brandon Aiyuk,0.48374585066941195
Austin Ekeler,0.4720109346086343
Sam Darnold,0.46921449069262855
Tyrod Taylor,0.4688659996663648
Tyler Lockett,0.46545512040389764
Gabriel Davis,0.46498971462381916
Brock Purdy,0.4626097436571736
Davis Mills,0.456776238718009
Baker Mayfield,0.45602948604536886
Deshaun Watson,0.4558387197742528
Amari Cooper,0.4553929688469412
Mike Evans,0.4516934351228313
Terry McLaurin,0.4489346429725792
Rondale Moore,0.44735701508373366
Dallas Goedert,0.44541756962757784
Saquon Barkley,0.4424565122855664
Christian Watson,0.4387070029064309
Joe Mixon,0.4371227834742454
JuJu Smith-Schuster,0.43635422341036373
Mike Williams,0.4359414500533129
T.J. Hockenson,0.4355720360070283
Christian McCaffrey,0.4343080375238532
Trey Lance,0.43105966980795446
Jahan Dotson,0.4292972373154876
Deebo Samuel,0.4288199185292673
Josh Palmer,0.4245471067891459
George Kittle,0.4220243538680466
Zach Wilson,0.4161257661998515
Zay Jones,0.41557555323320333
Derrick Henry,0.41431756669672987
Breece Hall,0.4136006111922757
Romeo Doubs,0.4128141637514186
D.J. Moore,0.40811311869162464
Kenneth Walker III,0.4019163757229019
Isaiah Hodgins,0.3991542141071163
Nico Collins,0.3934994414215057
Diontae Johnson,0.3927879142294562
George Pickens,0.3922852374618103
Blaine Gabbert,0.3911493513688965
Donovan Peoples-Jones,0.3907514457665884
Colt McCoy,0.388049099547286
Tony Pollard,0.38376021073200434
Mark Andrews,0.38160418254423256
Mecole Hardman,0.3812969630621811
P.J. Walker,0.3803649579743621
Nick Chubb,0.37613337670508284
Kyle Allen,0.37356600894628034
Brandin Cooks,0.37201044815910594
D\'Andre Swift,0.3714923210461914
Allen Lazard,0.36879627310151347
Jonathan Taylor,0.3668522015610828
Calvin Ridley,0.36530775243895186
Courtland Sutton,0.3633123587185834
Dameon Pierce,0.36284720837505346
Dawson Knox,0.3619446104787629
Rhamondre Stevenson,0.3616747271839598
K.J. Osborn,0.361637479625436
David Njoku,0.3600339166931019
Dalvin Cook,0.3558951229015413
Drew Lock,0.35453338384590694
Mike White,0.3530856716024085
Hunter Renfrow,0.35161627224332165
Tyler Boyd,0.350980182982344
Cooper Rush,0.34937962522111693
Curtis Samuel,0.3492550362353183
James Conner,0.3484644059256024
Najee Harris,0.34594313956212247
Travis Etienne,0.34488357643669054
Parris Campbell,0.3440058221089564
Russell Gage,0.3402108488117903
Treylon Burks,0.3397974206162547
Cole Kmet,0.3393358057312904
Pat Freiermuth,0.3391507118011001
Jamaal Williams,0.3378614237710518
Gardner Minshew II,0.33534121266303785
Miles Sanders,0.33529872765101765
Evan Engram,0.3346988689319059
Darius Slayton,0.33313489562912285
Jeff Driskel,0.3311284083141303
Alvin Kamara,0.32951840218817263
David Montgomery,0.3289097858729826
Greg Dulcich,0.32759501641816446
Alec Pierce,0.3258428532695999
Aaron Jones,0.3210616006840725
Sterling Shepard,0.31675153291932073
DJ Chark,0.31481566657255744
Dalton Schultz,0.31450407045452355
Kyle Pitts,0.31137577272460926
Darnell Mooney,0.3100627879273769
Rashid Shaheed,0.30830669800317007
Irv Smith Jr.,0.30787064744122683
Terrace Marshall Jr.,0.3066847503932823
Michael Gallup,0.3045732420137411
Michael Thomas,0.3031939764243615
Rashod Bateman,0.3023058075778283
Brian Robinson Jr.,0.3011505847333894
AJ Dillon,0.29834565540584496
Jarrett Stidham,0.2978073963697843
Case Keenum,0.29757245188343445
Malik Willis,0.2950357233063396
Zach Ertz,0.29438654121396546
John Wolford,0.2925645516081176
Elijah Mitchell,0.2923681699487242
Greg Dortch,0.29210083228460065
