team,ol,rb,wr,qb,te,year
det,7.4,5.4,6.385,14,5,2017
gnb,10.4,5.5,9.62,18,6.2,2017
htx,5.6,5.8,5.24,1,3.8,2017
clt,8.2,8.2,7.18,2,4.8,2017
jax,5.2,4.7,5.525,10,1,2017
kan,6.4,3.1,6.33,12,8.2,2017
rai,8.2,4.7,7.905,12,3.8,2017
sdg,6,7.3,7.475,13,4.8,2017
ram,4.6,3.1,4.76,0,0.8,2017
mia,5.6,7.9,7.52,2,1.8,2017
min,5.4,6.7,5.67,11,5.8,2017
nwe,9,6.4,8.235,13,6.6,2017
nor,8.4,8,8.475,16,5,2017
nyg,6,3.4,6.9,9,0.8,2017
nyj,5,5.7,4.38,2,2.4,2017
phi,6.8,9.4,3.475,10,6.2,2017
pit,8.4,10.8,6.855,12,3,2017
sfo,6.4,4.9,5.9,4,2.4,2017
sea,5.6,3,6.38,14,6.6,2017
tam,6.6,4,7.905,12,4,2017
oti,9,9.6,3.995,13,5.8,2017
was,9.2,5,5.905,15,5.8,2017
crd,5,0.7,4.95,2,1.8,2018
atl,9.6,8.4,8.235,15,4,2018
rav,5.2,8.4,3.81,9,1.8,2018
buf,6,8.9,3.095,1,4.8,2018
car,7.2,8.4,4.95,15,1.6,2018
chi,5.8,6.7,2.81,7,1.8,2018
cin,4.6,7,5.04,11,3.4,2018
cle,5.4,7.4,3.9,12,2.8,2018
dal,8.2,7.5,5.43,13,0,2018
den,5.4,2.1,4.285,14,0.8,2018
det,6.8,6,7.955,15,1,2018
gnb,6.8,5.1,6.19,6,3.8,2018
htx,4.8,5.5,7,7,0.8,2018
clt,4.6,3.1,5.235,11,5.8,2018
jax,8.8,8,4.14,13,2.6,2018
kan,7.8,11.1,8.09,1,8.4,2018
rai,7.8,6.1,5.715,10,5,2018
sdg,6,8.2,7.9,13,4.6,2018
ram,10,15.4,10.235,15,3,2018
mia,6,7.4,6.475,2,2.6,2018
min,6.4,6.4,8.525,12,4.2,2018
nwe,7.4,6.4,3.475,20,10.6,2018
nor,8.4,15.4,8.62,17,4.2,2018
nyg,7.6,4.7,3.14,7,4.4,2018
nyj,5.4,5.7,7.095,9,1,2018
phi,10.8,3.7,7.76,13,6.6,2018
pit,8.6,1,8.955,14,3.6,2018
sfo,4.2,4,5.235,5,3.8,2018
sea,6.6,1.7,5.905,15,3.4,2018
tam,6,2.7,6.14,10,3.8,2018
oti,8.2,10.2,5.86,12,0.8,2018
was,7.6,5.7,5.43,17,4.4,2018
crd,4.4,6.7,4.715,0,1,2019
atl,7.8,2.4,9.66,16,5,2019
rav,8,6.1,4.19,8,4.4,2019
buf,5.4,5,5.715,6,0,2019
car,6.4,11.2,6.14,14,3,2019
chi,5.4,7,6.43,13,4,2019
cin,6.6,8.6,5.04,9,3.6,2019
cle,7,9.5,7.24,10,4.4,2019
dal,7.2,10.5,3.095,14,2.6,2019
den,5,5.8,4.905,7,1.6,2019
det,6.6,4.1,5.52,10,2.6,2019
gnb,7.8,5.4,5.71,13,4.2,2019
htx,6.4,3.1,7.42,16,2,2019
clt,7.8,6.7,7.66,0,6,2019
jax,3,2.1,4.475,4,1.8,2019
kan,10.2,4,9.705,22,11.2,2019
rai,6,4.5,4.81,11,1,2019
sdg,9,10.1,7.425,14,1.8,2019
ram,5.2,11.8,11.385,18,3,2019
mia,4,5.5,3.38,7,1.8,2019
min,5.6,4.2,8,12,4.2,2019
nwe,5.4,9.1,8.81,14,3.6,2019
nor,10.2,12,8.61,16,6,2019
nyg,7,10.4,3.9,12,4.2,2019
nyj,6.2,3,4.475,7,3.8,2019
phi,8.8,5.8,6,9,7.6,2019
pit,8.8,7.9,6.09,14,4.6,2019
sfo,6.8,7.7,5.14,6,8.4,2019
sea,7.8,7.5,7.285,14,2.6,2019
tam,8,2.8,6.76,9,3.6,2019
oti,6.8,6.7,3.855,9,6,2019
was,3.8,6.1,1.095,9,3.8,2019
crd,6.8,2.7,8.52,14,1.8,2020
atl,6.6,5.1,7.665,13,4.2,2020
rav,9,10.2,5.235,25,9.6,2020
buf,6.8,4.5,9.665,11,2.6,2020
car,6,10.8,6.14,5,0.8,2020
chi,4.6,5.7,6.235,8,3.4,2020
cin,5.4,5.5,5.14,2,1.6,2020
cle,7.2,9.3,7.385,11,4.8,2020
dal,7.8,8.6,7.005,15,2.6,2020
den,6.2,7.4,4.66,3,3.4,2020
det,4.8,5.1,6.855,8,2.6,2020
gnb,6.8,9.9,5.9,14,1,2020
htx,7.8,6.4,6.095,16,3.8,2020
clt,9.8,7.4,4.19,13,3.4,2020
jax,6.8,3.4,6.095,10,2.6,2020
kan,8.6,4.7,7.76,17,10.6,2020
rai,6.8,6.5,2.81,11,7.2,2020
sdg,7,8,6.48,0,4.2,2020
ram,6.2,1.7,7.29,12,5.4,2020
mia,4.4,5.4,4.995,10,3.4,2020
min,7,11.7,3.76,14,3.8,2020
nwe,5,6.4,5.66,1,0.8,2020
nor,8.8,9.8,8.705,15,6,2020
nyg,4,8.7,5.38,9,3.6,2020
nyj,5.2,4.7,4.145,6,1.6,2020
phi,7.8,6.5,2.475,12,6.6,2020
pit,5.6,3.7,5.095,3,2.8,2020
sfo,5.2,7.4,5.71,15,9,2020
sea,,9.4,6.955,15,3.8,2020
tam,7.8,9.1,7.385,12,3.6,2020
oti,6.4,9.1,6.33,11,3.4,2020
was,4.6,3.7,4.285,7,1.8,2020
crd,7.4,6,7.375,16,2.6,2021
atl,5.4,6.4,7.095,13,4,2021
rav,6.6,4.5,5.9,18,6.6,2021
buf,5.8,6.1,10.71,18,2.4,2021
car,5.6,2.4,8.24,12,0.8,2021
chi,4.4,7.3,7.9,5,3.6,2021
cin,4.6,2.7,5.29,7,2.6,2021
cle,10.6,9,6.57,14,3.6,2021
dal,4.6,6.1,8.43,6,4,2021
den,6.8,4.2,5.38,13,4.2,2021
det,6.2,6.7,3.095,10,5.4,2021
gnb,10.6,10.4,10.185,18,5.8,2021
htx,5.6,5.8,6.235,1,2.6,2021
clt,10.4,9.8,6.095,5,3.6,2021
jax,5.6,6.5,6.14,2,2,2021
kan,7.8,6.8,7.71,17,9.8,2021
rai,6,7.4,5.095,14,9,2021
sdg,6.4,5.1,6.19,13,4.2,2021
ram,5.6,4,6.145,13,3.2,2021
mia,5.8,5.8,6.145,5,5.2,2021
min,6.8,10.6,7.62,14,1.8,2021
nwe,4.4,4.7,6.81,0,5,2021
nor,10.2,10.7,2.76,7,1.8,2021
nyg,4.6,3.1,4.81,9,4.6,2021
nyj,5.2,2,7.615,2,5.8,2021
phi,4.2,5.1,3.095,7,3.8,2021
